id,visitor_id,session_id,chat_id,assistant_message_count,chat_history_length,user_message_count,geo_country_code,created_at
905aaeb0-619a-4363-b713-2c4abf8cd67e,c072de6c-e4d1-40b2-9f22-d041ba5cd542,a139072d-a59a-4cde-a63a-4c88bafa9537,1,2,3,1,RO,2026-02-10 12:18:43
55535814-c55a-4f4f-8467-8174daee0e86,85056bd5-bef6-414b-8ab2-13c85b289da9,a62468fc-9003-400a-a5bf-d435e1fcbeef,2,1,2,1,NL,2026-02-10 16:54:19
32185387-578a-46f3-b5c9-9b83a59b5174,85056bd5-bef6-414b-8ab2-13c85b289da9,a62468fc-9003-400a-a5bf-d435e1fcbeef,3,1,2,1,NL,2026-02-10 16:55:00
39439ac5-5c2d-4f23-a11d-4c24f1095322,902a3d6f-1fe9-4444-bbbd-f4d2f2676328,1e3f4b75-c598-462c-b6bb-644d44ef0b1f,2,3,6,3,DE,2026-02-12 23:59:38
8561c9d4-eac9-45b6-a3f9-71c46b7f2195,fc3197d8-7813-4478-9c58-47aa00f39b86,ff662105-e79c-44a9-b437-105033c6b72d,4,1,2,1,EG,2026-02-03 19:04:33
12631b09-ec41-40a2-a652-52f97e7135eb,fc3197d8-7813-4478-9c58-47aa00f39b86,ff662105-e79c-44a9-b437-105033c6b72d,4,2,4,2,EG,2026-02-03 19:05:07
48120309-7183-491f-ab4c-3219b3070a6b,c5156b73-9514-4991-b512-dd2096b5f639,15395b32-c9ce-4223-8766-eed5366344b3,2,1,2,1,SY,2026-02-03 21:07:55
479daba3-de0f-4acf-bbc5-598097c67a38,4086486f-b885-4a36-b79c-2dcb1060584c,ef3f3cd8-3547-4eca-a34d-a4df61301e94,6,1,2,1,DE,2026-02-03 21:54:46
f297180f-0b3f-429b-99a8-888550d3b6ac,bce7f2d9-69ed-4e42-82a0-16608d5de58a,a9c519fc-b9d3-460c-bf41-64de99315a1c,1,2,4,2,SY,2026-03-03 12:59:09
c52e2f35-fb13-4b32-8c7f-037df3b21534,c2273b64-4f45-4d1d-84c4-9fb99d7bb31e,0c163f07-0e92-4b9c-b779-5d36fde6f7af,2,1,2,1,CZ,2026-03-03 22:33:38
5bd3d8c4-4161-469d-8636-20a0cec13ebf,d427f186-adee-4e4a-8835-2c0b4c4a20a8,1df19b95-6be4-40e7-adf4-425669e25aff,1,3,6,3,EG,2026-03-04 06:52:08
48019439-1019-4219-9b0e-a9db7ee87203,c4e35449-264e-46cd-9600-96f9e12dee80,017b3694-a763-42de-ae13-3e272a5e7e58,3,6,10,4,CH,2026-03-04 10:00:18
ff5321cd-51c4-4923-b1bd-1d0e19447805,42a1f53a-704a-4ea8-a5a3-55e49825f178,ba1fe6be-9393-4e40-9d6f-1243155b1170,1,1,2,1,EG,2026-03-04 20:00:18
a34204a5-e718-4427-8387-be6cf9ab7e5f,42a1f53a-704a-4ea8-a5a3-55e49825f178,ba1fe6be-9393-4e40-9d6f-1243155b1170,1,2,4,2,EG,2026-03-04 20:00:41
7f27e1b4-fc09-46ec-b2fb-0fe9a4eb5496,954e32b6-8518-4383-9b1c-4c6fe3297761,822bd97a-db57-450d-89f6-a1089c5cbefb,1,1,2,1,US,2026-03-06 02:56:06
1bbc3d55-d3ef-48ec-be88-182adf4f89c4,anon_28fc8d30-2ced-4a4c-80fa-6d442b9ad7b0,d09aa0f9-dcd0-4725-b390-0e0614e13903,4,1,2,1,ES,2026-03-06 12:10:33
23ad0330-4add-476c-8e59-0719ed5f306b,ab0d6f16-7414-43d6-ba34-dfe7a0983e27,2517b396-c315-42fb-908e-f5d99b76b3ac,6,1,2,1,ES,2026-03-06 23:47:56
e4e8fff2-62df-4e0c-862b-e5e25421ee31,anon_c10a4245-ceab-4a75-97a7-b40301401802,29b84cb3-eb6c-452a-a86c-86f280ebfabb,2,1,2,1,GB,2026-03-14 07:50:06
2c03c21c-967f-484d-9882-f6b9709799b4,anon_c10a4245-ceab-4a75-97a7-b40301401802,29b84cb3-eb6c-452a-a86c-86f280ebfabb,2,3,6,3,GB,2026-03-14 07:52:30
998d074f-d7d1-4d3d-8260-ccc8fbfdae08,anon_c10a4245-ceab-4a75-97a7-b40301401802,29b84cb3-eb6c-452a-a86c-86f280ebfabb,2,4,8,4,GB,2026-03-14 07:52:59
a35660d3-c3b5-4958-b958-cdf46d811745,8e141001-8091-460c-9e6e-1caa976de3b7,9bb5e9ec-2547-4225-b296-79c5cfa84551,1,1,2,1,DE,2026-03-15 21:22:42
a6e0f9d4-a321-42ed-87f8-4087b1315f08,9bbf5fdd-929a-4a8c-b39c-8e1159c6f96a,2c8f5886-a272-41fe-a178-533586e589fc,3,5,10,5,IT,2026-03-16 05:03:01
1e75f318-367d-46c0-97ef-9d0b20b6bb93,6644455a-84a9-42dd-9240-0759690b636c,1c420be6-ecd8-4093-a389-3de6b1374f29,1,1,2,1,IT,2026-02-13 23:40:03
2ec39fce-7243-4b84-89e1-d31b77d960ea,c5156b73-9514-4991-b512-dd2096b5f639,15395b32-c9ce-4223-8766-eed5366344b3,4,1,2,1,SY,2026-02-04 00:52:41
5040b0fa-832a-4550-99a1-8fa5c786b967,e458c79a-9452-4b02-9093-79b68e2b1095,32039834-c914-44ea-bd2d-83ab37dd63e8,2,3,5,2,US,2026-02-04 03:48:08
270d0992-880e-4c58-a59b-ff1e0a035387,f07b5431-39d4-4c64-aa9c-99ae3933017e,717a13f4-dca5-4400-8593-681b8714b801,2,1,2,1,MA,2026-02-19 11:29:38
cd805bab-101c-482b-bd42-28bd9c7c9b0d,f5d61b98-2b7f-44cd-8f86-e55d0816bfa3,54aeb8bc-50e5-44a9-8f72-618e8e5cbbc7,1,1,2,1,DE,2026-02-16 15:39:28
6303a312-39b1-4291-a454-ae8d132aa5f8,9f1858b1-0ae2-49db-923c-e8b586b0aaf7,60909a6e-4a34-4544-b6b9-f7c7b73fa326,1,1,2,1,US,2026-02-05 07:21:01
